,商品名称,商品编号,商品毛重,商品产地,电源尺寸,接线类型,电源功率,适用场景,转换效率,型号,输入电压,支持温控,额定功率,产品尺寸（mm）,产品净重（kg）,6pin PCI-E接口,峰值,支持宽幅,安全认证,质保期,店铺,风扇启停,品牌,类型,风扇,SATA接口数量,CPU 12V供电接口,D型4pin接口,8pin PCI-E接口,主电源接口,PFC,电源线长,货号
71,酷冷至尊新雷霆系列500550650700750W额定台式电脑主机背线电源新雷霆550额定550W（80PLUS铜牌认证）,44103055872,1.2kg,,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,铜牌（85%）,,200-240V,支持温控,,,1.2,,,不支持宽幅,CCC认证,3年,悦弘电脑配件旗舰店,,酷冷至尊COOLERMASTER,ATX电源,,,,,,,,,
72,,10026557258986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,长城PRIME550额定450W500W550W650W电脑电源台式主机电源PRIME650额定650W白牌,27078284933,3.8kg,,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,白牌（80%）,,220V,不支持温控,,,1.77kg,,,不支持宽幅,CCC认证,3年,和煦电脑DIY专营店,,,,,,,,,,,,
74,艾湃电竞AN-650M,100025703282,2.8kg,中国大陆,标准电源（ATX）,全模组化,501W-700W,大型游戏/电竞，一般家用/办公,金牌（90%）,STG-650M,100-240Vac,支持温控,650W,,2.0kg,,,支持宽幅,CCC认证；FCC认证；CE认证；cTUVus认证；RCM认证；TUV认证；BSMI认证；CB认证,7年,,,,,14cm,4个,2个,,3个,20+4pin,主动式PFC,600mm,
75,鑫谷（segotep）台式机电脑电源（全电压宽幅节能/智能温控/主动式AFP/静音背线主机电源）RP750（额定650W，80PLUS认证电源）,69312646993,2.0kg,中国大陆,标准电源（ATX）,非模组化,501W-700W,大型游戏/电竞，一般家用/办公,白牌（80%）,雷诺者RP650,100~240V,支持温控,,长140mm；宽150mm；高85mm,2KG,2个,,支持宽幅,CCC认证,3年,兆方数码专营店,不支持风扇启停,鑫谷Segotep,ATX电源,12cm,3个,1个,2个,2个,20+4pin,主动式PFC,,
76,航嘉（Huntkey）GX系列,45689801297,2.19kg,中国大陆,标准电源（ATX）,非模组化,501W-700W,大型游戏/电竞，一般家用/办公,白牌（80%）,GX系列,150~264V,支持温控,500W,长140mm；宽150mm；高86mm,1.47,2个,600W,支持宽幅,CCC认证,3年,航嘉（Huntkey）旗舰店,不支持风扇启停,航嘉HuntKey,ATX电源,12cm,4个,2个,1个,2个,20+4pin,主动式PFC,1.5米,GX系列
77,长城PRIME550额定450W500W550W650W电脑电源台式主机电源PRIME650额定650W白牌,27078284933,3.8kg,,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,白牌（80%）,,220V,不支持温控,,,1.77kg,,,不支持宽幅,CCC认证,3年,和煦电脑DIY专营店,,,,,,,,,,,,
78,酷冷至尊（CoolerMaster）雷霆铜牌,66143287391,100.00g,,标准电源（ATX）,非模组化,301-500W,机箱电源套装，一般家用/办公,铜牌（85%）,雷霆铜牌,200-240V,支持温控,,长140mm；宽150mm；高86mm,1.2,1个,,不支持宽幅,CCC认证,3年,星辰聚官方旗舰店,支持风扇启停,酷冷至尊COOLERMASTER,,12cm,4个,1个,0个,1个,,,看参数,
79,长城PRIME550额定450W500W550W650W电脑电源台式主机电源PRIME550额定550W铜牌,27890690423,3.8kg,,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,铜牌（85%）,,180-265V,支持温控,,,1.810KG,,,支持宽幅,CCC认证,3年,和煦电脑DIY专营店,,,,,,,,,,,,
80,美商海盗船RM1000x2021,100014185749,3.65kg,中国大陆,标准电源（ATX）,全模组化,900W以上,大型游戏/电竞,金牌（90%）,RM1000x2021,100-240V,支持温控,1000W,长180mm；宽150mm；高86mm,2,0个,1000W,支持宽幅,CCC认证,10年,,支持风扇启停,海盗船CORSAIR,ATX电源,13.5cm,8个,3个,8个,6个,20+4pin,主动式PFC,,CP-9020201-CN
81,酷冷至尊（CoolerMaster）雷霆铜牌,66143287389,100.00g,,标准电源（ATX）,非模组化,301-500W,机箱电源套装，一般家用/办公,铜牌（85%）,雷霆铜牌,200-240V,支持温控,,长140mm；宽150mm；高86mm,1.2,1个,,不支持宽幅,CCC认证,3年,星辰聚官方旗舰店,支持风扇启停,酷冷至尊COOLERMASTER,,12cm,4个,1个,0个,1个,,,看参数,
82,酷冷至尊（CoolerMaster）雷霆铜牌,66143287389,100.00g,,标准电源（ATX）,非模组化,301-500W,机箱电源套装，一般家用/办公,铜牌（85%）,雷霆铜牌,200-240V,支持温控,,长140mm；宽150mm；高86mm,1.2,1个,,不支持宽幅,CCC认证,3年,星辰聚官方旗舰店,支持风扇启停,酷冷至尊COOLERMASTER,,12cm,4个,1个,0个,1个,,,看参数,
83,,10026557258986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,长城PRIME550额定450W500W550W650W电脑电源台式主机电源PRIME650额定650W白牌,27078284933,3.8kg,,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,白牌（80%）,,220V,不支持温控,,,1.77kg,,,不支持宽幅,CCC认证,3年,和煦电脑DIY专营店,,,,,,,,,,,,
85,美商海盗船（USCORSAIR）RM650X/RM750X/RM850X/RM1000X金牌/全模组额定650WRM650X金牌全模组,12735082432,1.672kg,中国大陆,标准电源（ATX）,全模组化,501W-700W,大型游戏/电竞，一般家用/办公,金牌（90%）,RM550X,100-240V,支持温控,550W,长160mm；宽150mm；高86mm,2,4个,,支持宽幅,CCC认证,10年,世纪浩翔旗舰店,支持风扇启停,海盗船CORSAIR,ATX电源,14cm,4个,2个,3个,2个,24pin,主动式PFC,140mm,
86,,10020925151518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,鑫谷（segotep）台式机电脑电源（全电压宽幅节能/智能温控/主动式AFP/静音背线主机电源）RP750（额定650W，80PLUS认证电源）,69312646993,2.0kg,中国大陆,标准电源（ATX）,非模组化,501W-700W,大型游戏/电竞，一般家用/办公,白牌（80%）,雷诺者RP650,100~240V,支持温控,,长140mm；宽150mm；高85mm,2KG,2个,,支持宽幅,CCC认证,3年,兆方数码专营店,不支持风扇启停,鑫谷Segotep,ATX电源,12cm,3个,1个,2个,2个,20+4pin,主动式PFC,,
88,长城PRIME550额定450W500W550W650W电脑电源台式主机电源PRIME550额定550W铜牌,27890690423,3.8kg,,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,铜牌（85%）,,180-265V,支持温控,,,1.810KG,,,支持宽幅,CCC认证,3年,和煦电脑DIY专营店,,,,,,,,,,,,
89,鑫谷（segotep）战斧400PLUS背线版,55606347227,1.9kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,其他,战斧400PLUS背线版,220v,不支持温控,,,1.5,,,不支持宽幅,CCC认证,3年,新东海晨旭电脑配件专营店,,鑫谷Segotep,ATX电源,,,,,,,,,战斧400PLUS背线版
90,鑫谷（segotep）战斧400PLUS背线版,55606347227,1.9kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,其他,战斧400PLUS背线版,220v,不支持温控,,,1.5,,,不支持宽幅,CCC认证,3年,新东海晨旭电脑配件专营店,,鑫谷Segotep,ATX电源,,,,,,,,,战斧400PLUS背线版
91,九州风神DQ650-M-V2L,100013313670,2.54kg,中国大陆,标准电源（ATX）,全模组化,501W-700W,大型游戏/电竞，一般家用/办公,金牌（90%）,DQ650-M-V2L,100-240V,支持温控,650W,,2.5KG,2个,,支持宽幅,CCC认证；FCC认证；CE认证；EAC认证；CB认证,10年,,,,ATX电源,12cm,8个,1个,3个,2个,20+4pin,主动式PFC,150cm,
92,,100010397513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,100010397513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,长城PRIME550额定450W500W550W650W电脑电源台式主机电源PRIME550额定550W铜牌,27890690423,3.8kg,,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,铜牌（85%）,,180-265V,支持温控,,,1.810KG,,,支持宽幅,CCC认证,3年,和煦电脑DIY专营店,,,,,,,,,,,,
95,美商海盗船（USCORSAIR）CV550/CV650/CV750铜牌非模组台式机电源CV650铜牌非模组额定650W,12876799678,5.2kg,中国大陆,标准电源（ATX）,非模组化,501W-700W,大型游戏/电竞，一般家用/办公,铜牌（85%）,,110-220V,不支持温控,550W,长150mm；宽125mm；高86mm,5.2,1个,500W,支持宽幅,CCC认证,3年,世纪浩翔旗舰店,不支持风扇启停,海盗船CORSAIR,ATX电源,12cm,8个,1个,2个,2个,24pin,,1.8m,CP-9020133-CN
96,,100010397513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,鑫谷（segotep）战斧400PLUS背线版,55606347227,1.9kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,其他,战斧400PLUS背线版,220v,不支持温控,,,1.5,,,不支持宽幅,CCC认证,3年,新东海晨旭电脑配件专营店,,鑫谷Segotep,ATX电源,,,,,,,,,战斧400PLUS背线版
98,鑫谷GP850G全模爱国版电源,100005689487,2.39kg,中国大陆,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞,金牌（90%）,GP850G全模爱国版电源,100-240V,支持温控,750W,160*150*85mm,2.4KG,,850W,支持宽幅,CCC认证,5年,,,鑫谷Segotep,ATX电源,14cm,8个,2个,6个,4个,24pin,主动式PFC,主板（20+4）PIN长550mm，CPU（4+4）PIN长700mm，手工测量，如有误差请以实物为准,
99,鑫谷（segotep）战斧400PLUS背线版,55606347227,1.9kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,其他,战斧400PLUS背线版,220v,不支持温控,,,1.5,,,不支持宽幅,CCC认证,3年,新东海晨旭电脑配件专营店,,鑫谷Segotep,ATX电源,,,,,,,,,战斧400PLUS背线版
100,华硕（ASUS）雷神850,10026485698463,4.08kg,,标准电源（ATX）,全模组化,900W以上,,白金牌（92%）,,100-240Vac,支持温控,,,2.85,,,支持宽幅,CCC认证,3年,华硕瑞达腾飞专卖店,,,,,,,,,,,,
101,华硕（ASUS）TUF-GAMING-750,10023684500814,2.7kg,,标准电源（ATX）,非模组化,501W-700W,一般家用/办公,铜牌（85%）,TUF-750B-GAMING,+3.3V+5V+12V-12V+5Vsb,支持温控,,,2.18,0个,,支持宽幅,CCC认证；CB认证,6年,,支持风扇启停,,,13.5cm,8个,2个,0个,0个,,,无,90YE00D0-B0CA00
102,长城G7GW-ATX750BL,8025804,2.84kg,深圳,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞,金牌（90%）,G7GW-ATX750BL,100-240V,支持温控,750W,150X160X86,净重2.82kg,0个,850W,支持宽幅,CCC认证,7年,,不支持风扇启停,长城GreatWall,ATX电源,14cm,9个,2个,3个,6个,20+4pin,主动式PFC,1.5M,6.92E+12
103,美商海盗船（USCORSAIR）VS450,43085338430,177.00g,中国大陆,标准电源（ATX）,非模组化,301-500W,一般家用/办公，矿机,白牌（80%）,,220-240V,支持温控,,,1.87KG,,,支持宽幅,CCC认证,3年,美商海盗船超畅行专卖店,,,,,,,,,,,,
104,美商海盗船（USCORSAIR）VS450,43085338430,177.00g,中国大陆,标准电源（ATX）,非模组化,301-500W,一般家用/办公，矿机,白牌（80%）,,220-240V,支持温控,,,1.87KG,,,支持宽幅,CCC认证,3年,美商海盗船超畅行专卖店,,,,,,,,,,,,
105,艾湃电竞AG-750M,8670980,2.88kg,中国大陆,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞，一般家用/办公,金牌（90%）,AG-750M,100-240Vac,支持温控,750W,,2.3kg,,950W,支持宽幅,CCC认证；FCC认证；CE认证；cTUVus认证；RCM认证；TUV认证；BSMI认证；CB认证,10年,,,,,14cm,6个,2个,4个,4个,20+4pin,主动式PFC,1.5m,ZPS18X75S3A1M0
106,长城（GreatWall）PRIME450GM-450(85+),67574147252,1.77kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,白牌（80%）,PRIME450,220V,支持温控,,长150mm；宽140mm；高86mm,2.5,,,不支持宽幅,CCC认证,3年,方度电脑专营店,,长城GreatWall,ATX电源,12cm,,,,,24pin,主动式PFC,1.5M,
107,长城小金刚230,100021143236,1.42kg,中国大陆,标准电源（ATX）,非模组化,300W以下,一般家用/办公,其他,小金刚230,180-240V,支持温控,230W,,0.92,,,支持宽幅,CCC认证,3年,,不支持风扇启停,长城GreatWall,ATX电源,12cm,2个,1个,2个,1个,20+4pin,,1.5m,
108,长城PRIME550额定450W500W550W650W电脑电源台式主机电源PRIME550额定550W铜牌,27890690423,3.8kg,,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,铜牌（85%）,,180-265V,支持温控,,,1.810KG,,,支持宽幅,CCC认证,3年,和煦电脑DIY专营店,,,,,,,,,,,,
109,长城PRIME550额定450W500W550W650W电脑电源台式主机电源PRIME550额定550W铜牌,27890690423,3.8kg,,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,铜牌（85%）,,180-265V,支持温控,,,1.810KG,,,支持宽幅,CCC认证,3年,和煦电脑DIY专营店,,,,,,,,,,,,
110,,100010397513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,长城（GreatWall）GW-6000AD,45259219141,1.21kg,中国大陆,标准电源（ATX）,,301-500W,大型游戏/电竞，一般家用/办公,其他,GW-6000AD,180V-240V,,500W,140X150X86mm,1.21kg,,,,,3年,益达数码专营店,,长城GreatWall,ATX电源,,4个,1个,2个,2个,20+4pin,主动式PFC,65cm,
112,鑫谷（segotep）战斧400PLUS背线版,55606347227,1.9kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,其他,战斧400PLUS背线版,220v,不支持温控,,,1.5,,,不支持宽幅,CCC认证,3年,新东海晨旭电脑配件专营店,,鑫谷Segotep,ATX电源,,,,,,,,,战斧400PLUS背线版
113,长城PRIME550额定450W500W550W650W电脑电源台式主机电源PRIME550额定550W铜牌,27890690423,3.8kg,,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,铜牌（85%）,,180-265V,支持温控,,,1.810KG,,,支持宽幅,CCC认证,3年,和煦电脑DIY专营店,,,,,,,,,,,,
114,,100010397513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,航嘉（Huntkey）GX系列,45689801297,2.19kg,中国大陆,标准电源（ATX）,非模组化,501W-700W,大型游戏/电竞，一般家用/办公,白牌（80%）,GX系列,150~264V,支持温控,500W,长140mm；宽150mm；高86mm,1.47,2个,600W,支持宽幅,CCC认证,3年,航嘉（Huntkey）旗舰店,不支持风扇启停,航嘉HuntKey,ATX电源,12cm,4个,2个,1个,2个,20+4pin,主动式PFC,1.5米,GX系列
116,美商海盗船（USCORSAIR）RM650X/RM750X/RM850X/RM1000X金牌/全模组额定750WRM750X金牌全模组,12735082431,1.672kg,中国大陆,标准电源（ATX）,全模组化,501W-700W,大型游戏/电竞，一般家用/办公,金牌（90%）,RM550X,100-240V,支持温控,550W,长160mm；宽150mm；高86mm,2,4个,,支持宽幅,CCC认证,10年,世纪浩翔旗舰店,支持风扇启停,海盗船CORSAIR,ATX电源,14cm,4个,2个,3个,2个,24pin,主动式PFC,140mm,
117,技嘉（GIGABYTE）额定650WGP-P650B电源80PLUS铜牌主机电源,17211903953,1.0kg,,标准电源（ATX）,,501W-700W,大型游戏/电竞，一般家用/办公,铜牌（85%）,P650B,100-240Vac,支持温控,650W,150x140x86mm,3kg,2个,,支持宽幅,CCC认证；CE认证；BSMI认证；KC认证；EAC认证；UL认证；TUV认证；RCM认证；FCC认证,3年,灵竞DIY旗舰店,支持风扇启停,,ATX电源,12cm,6个,1个,3个,2个,20+4pin,主动式PFC,600mm,
118,美商海盗船（USCORSAIR）RM650X/RM750X/RM850X/RM1000X金牌/全模组额定750WRM750X金牌全模组,12735082431,1.672kg,中国大陆,标准电源（ATX）,全模组化,501W-700W,大型游戏/电竞，一般家用/办公,金牌（90%）,RM550X,100-240V,支持温控,550W,长160mm；宽150mm；高86mm,2,4个,,支持宽幅,CCC认证,10年,世纪浩翔旗舰店,支持风扇启停,海盗船CORSAIR,ATX电源,14cm,4个,2个,3个,2个,24pin,主动式PFC,140mm,
119,技嘉（GIGABYTE）额定650WGP-P650B电源80PLUS铜牌主机电源,17211903953,1.0kg,,标准电源（ATX）,,501W-700W,大型游戏/电竞，一般家用/办公,铜牌（85%）,P650B,100-240Vac,支持温控,650W,150x140x86mm,3kg,2个,,支持宽幅,CCC认证；CE认证；BSMI认证；KC认证；EAC认证；UL认证；TUV认证；RCM认证；FCC认证,3年,灵竞DIY旗舰店,支持风扇启停,,ATX电源,12cm,6个,1个,3个,2个,20+4pin,主动式PFC,600mm,
120,技嘉（GIGABYTE）额定650WGP-P650B电源80PLUS铜牌主机电源,17211903953,1.0kg,,标准电源（ATX）,,501W-700W,大型游戏/电竞，一般家用/办公,铜牌（85%）,P650B,100-240Vac,支持温控,650W,150x140x86mm,3kg,2个,,支持宽幅,CCC认证；CE认证；BSMI认证；KC认证；EAC认证；UL认证；TUV认证；RCM认证；FCC认证,3年,灵竞DIY旗舰店,支持风扇启停,,ATX电源,12cm,6个,1个,3个,2个,20+4pin,主动式PFC,600mm,
121,鑫谷（segotep）战斧400PLUS背线版,55606347227,1.9kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,其他,战斧400PLUS背线版,220v,不支持温控,,,1.5,,,不支持宽幅,CCC认证,3年,新东海晨旭电脑配件专营店,,鑫谷Segotep,ATX电源,,,,,,,,,战斧400PLUS背线版
122,鑫谷核动力-巡洋舰C5,819705,1.54kg,中国大陆,标准电源（ATX）,非模组化,300W以下,一般家用/办公,其他,核动力-巡洋舰C5标准版,170-264V,支持温控,300W,150*140*85mm,1.78kg,1个,400W,支持宽幅,CCC认证,3年,,,鑫谷Segotep,ATX电源,12cm,3个,1个,2个,,20+4pin,被动式PFC,主板供电线材长度约为50CM，主板CPU供电线材长度约为55cm，自带1.2米国标AC电源线1条,
123,金河田金牌电源500w/600w/700W80plus认证主动式吃鸡台式机电脑电源Z监制GF500G额定500W,39671019254,2.8kg,中国大陆,标准电源（ATX）,,501W-700W,大型游戏/电竞，一般家用/办公,金牌（90%）,金牌电源,90V-264V,,600W,长150mm；宽145mm；高86mm,2.5kg,2个,,,,3年,金河田DIY官方旗舰店,支持风扇启停,金河田Goldenfield,ATX电源,12cm,6个,1个,2个,2个,20+4pin,主动式PFC,650mm,
124,鑫谷（segotep）战斧400PLUS背线版,55606347227,1.9kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,其他,战斧400PLUS背线版,220v,不支持温控,,,1.5,,,不支持宽幅,CCC认证,3年,新东海晨旭电脑配件专营店,,鑫谷Segotep,ATX电源,,,,,,,,,战斧400PLUS背线版
125,鑫谷核动力-超级战舰S7,819707,1.78kg,中国大陆,标准电源（ATX）,非模组化,301-500W,一般家用/办公,其他,核动力-超级战舰S7,170-264V,支持温控,400W,150*140*86mm,1.70KG,,500W,支持宽幅,CCC认证,3年,,,鑫谷Segotep,ATX电源,12cm,3个,1个,3个,2个,20+4pin,被动式PFC,主板24pin供电线材长550mm，CPU供电线材长600mm，支持中、全塔机箱背线,
126,,,,,,,,,,智能芯580GT,输入电压,不支持温控,400W,,1,4个,400W,不支持宽幅,CE认证,2年,,,,,,4个,4个,4个,4个,,,,
127,鑫谷（segotep）战斧400PLUS背线版,55606347227,1.9kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,其他,战斧400PLUS背线版,220v,不支持温控,,,1.5,,,不支持宽幅,CCC认证,3年,新东海晨旭电脑配件专营店,,鑫谷Segotep,ATX电源,,,,,,,,,战斧400PLUS背线版
128,鑫谷（segotep）战斧400PLUS背线版,55606347227,1.9kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,其他,战斧400PLUS背线版,220v,不支持温控,,,1.5,,,不支持宽幅,CCC认证,3年,新东海晨旭电脑配件专营店,,鑫谷Segotep,ATX电源,,,,,,,,,战斧400PLUS背线版
129,全汉（FSP）蓝暴炫动Ⅱ代额定400W/450W/500W/600W电脑台式主机箱静音ATX电源炫动Ⅱ额定400W,32849713495,1.77kg,中国大陆,标准电源（ATX）,非模组化,301-500W,一般家用/办公,其他,ATX,240V,支持温控,,140X150X86mm,1.8,1个,,支持宽幅,CCC认证,3年,奥都数码专营店,,,,,,,,,,,20+4长45Cm，Cpu4+4长60Cm,
130,长城（GreatWall）V7金牌全模组,68411441284,1.7kg,中国大陆,标准电源（ATX）,全模组化,501W-700W,大型游戏/电竞，一般家用/办公,金牌（90%）,V7金牌,100-240V,支持温控,700W,长150mm；宽140mm；高86mm,净重1.9kg,4个,750W,支持宽幅,CCC认证,3年,方度电脑专营店,不支持风扇启停,长城GreatWall,ATX电源,12cm,6个,2个,3个,4个,20+4pin,主动式PFC,1.5米,
131,鑫谷（segotep）战斧400PLUS背线版,55606347227,1.9kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,其他,战斧400PLUS背线版,220v,不支持温控,,,1.5,,,不支持宽幅,CCC认证,3年,新东海晨旭电脑配件专营店,,鑫谷Segotep,ATX电源,,,,,,,,,战斧400PLUS背线版
132,鑫谷（segotep）战斧400PLUS背线版,55606347227,1.9kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,其他,战斧400PLUS背线版,220v,不支持温控,,,1.5,,,不支持宽幅,CCC认证,3年,新东海晨旭电脑配件专营店,,鑫谷Segotep,ATX电源,,,,,,,,,战斧400PLUS背线版
133,全汉（FSP）蓝暴炫动Ⅱ代额定400W/450W/500W/600W电脑台式主机箱静音ATX电源炫动Ⅱ额定400W,32849713495,1.77kg,中国大陆,标准电源（ATX）,非模组化,301-500W,一般家用/办公,其他,ATX,240V,支持温控,,140X150X86mm,1.8,1个,,支持宽幅,CCC认证,3年,奥都数码专营店,,,,,,,,,,,20+4长45Cm，Cpu4+4长60Cm,
134,长城HOPE-6000DS,876229,1.7kg,中国大陆,标准电源（ATX）,非模组化,301-500W,一般家用/办公,其他,HOPE-6000DS,180-240V,支持温控,500W,150X140X86mm,1.36KG,,600W,支持宽幅,CCC认证,3年,,不支持风扇启停,长城GreatWall,ATX电源,12cm,4个,2个,2个,2个,20+4pin,主动式PFC,1.5m,
135,全汉蓝暴炫动Ⅱ代600W,8474237,1.88kg,中国大陆,标准电源（ATX）,非模组化,501W-700W,大型游戏/电竞,白牌（80%）,ATX600-55HYN,200-240Vac,支持温控,600W,140×150×86mm,1.44kg,,,支持宽幅,CCC认证,3年,,,全汉FSP,ATX电源,12cm,,2个,,2个,20+4pin,主动式PFC,24Pin长为500mm,
136,酷冷至尊新雷霆铜牌500W电脑电源额定500瓦台式机主机箱电源支持背线主机铜牌,52404005106,2.3kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,铜牌（85%）,MPE-5001-ACABW,200-240V,支持温控,500W,,1.4,0个,,不支持宽幅,CCC认证；CE认证,3年,PC大佬DIY电脑旗舰店,不支持风扇启停,酷冷至尊COOLERMASTER,ATX电源,12cm,6个,1个,3个,2个,20+4pin,主动式PFC,1.5米,
137,全汉额定450W电源,1688328,1.98kg,中国大陆,标准电源（ATX）,非模组化,301-500W,一般家用/办公,铜牌（85%）,FSP450-50YD,200~240Vac,支持温控,450W,,1.54kg,1个,,支持宽幅,CCC认证,5年,,支持风扇启停,PLUS450,ATX电源,12cm,5个,1个,3个,1个,20+4pin,主动式PFC,20+4Pin长为450mm，4+4Pin长为600mm,
138,鑫谷核动力-超级战舰F7,953441,1.75kg,中国大陆,标准电源（ATX）,非模组化,301-500W,一般家用/办公,其他,核动力-超级战舰F7,150-240V,支持温控,500W,150*140*85mm,1.42KG,,600W,支持宽幅,CCC认证,3年,,,鑫谷Segotep,ATX电源,12cm,7个,1个,2个,2个,20+4pin,主动式PFC,主板24（20+4）PIN线材长度650mm，CPU8（4+4）PIN线材长度750mm，显卡8（6+2）PIN线材长度650mm，其他线材500mm以上，支持全塔背线,
139,长城HOPE-6000DS,876229,1.7kg,中国大陆,标准电源（ATX）,非模组化,301-500W,一般家用/办公,其他,HOPE-6000DS,180-240V,支持温控,500W,150X140X86mm,1.36KG,,600W,支持宽幅,CCC认证,3年,,不支持风扇启停,长城GreatWall,ATX电源,12cm,4个,2个,2个,2个,20+4pin,主动式PFC,1.5m,
140,酷冷至尊新雷霆系列500550650700750W额定台式电脑主机背线电源新雷霆650额定650W（80PLUS白牌认证）,55730472319,1.2kg,,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,白牌（80%）,,200-240V,支持温控,,,1.2,,,不支持宽幅,CCC认证,3年,悦弘电脑配件旗舰店,,酷冷至尊COOLERMASTER,ATX电源,,,,,,,,,
141,美商海盗船RMX8502018款,6757737,3.44kg,中国大陆,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞,金牌（90%）,RM850X2018款,100-240V,支持温控,850W,160*150*86,1.659,6个,850W,支持宽幅,CCC认证,10年,,支持风扇启停,海盗船CORSAIR,ATX电源,13.5cm,10个,2个,8个,6个,20+4pin,主动式PFC,610mm,CP-9020180-CN
142,鑫谷核动力-超级战舰F7,953441,1.75kg,中国大陆,标准电源（ATX）,非模组化,301-500W,一般家用/办公,其他,核动力-超级战舰F7,150-240V,支持温控,500W,150*140*85mm,1.42KG,,600W,支持宽幅,CCC认证,3年,,,鑫谷Segotep,ATX电源,12cm,7个,1个,2个,2个,20+4pin,主动式PFC,主板24（20+4）PIN线材长度650mm，CPU8（4+4）PIN线材长度750mm，显卡8（6+2）PIN线材长度650mm，其他线材500mm以上，支持全塔背线,
143,酷冷至尊新雷霆铜牌500W电脑电源额定500瓦台式机主机箱电源支持背线主机铜牌,52404005106,2.3kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,铜牌（85%）,MPE-5001-ACABW,200-240V,支持温控,500W,,1.4,0个,,不支持宽幅,CCC认证；CE认证,3年,PC大佬DIY电脑旗舰店,不支持风扇启停,酷冷至尊COOLERMASTER,ATX电源,12cm,6个,1个,3个,2个,20+4pin,主动式PFC,1.5米,
144,酷冷至尊新雷霆系列500550650700750W额定台式电脑主机背线电源新雷霆550额定550W（80PLUS铜牌认证）,44103055872,1.2kg,,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,铜牌（85%）,,200-240V,支持温控,,,1.2,,,不支持宽幅,CCC认证,3年,悦弘电脑配件旗舰店,,酷冷至尊COOLERMASTER,ATX电源,,,,,,,,,
145,美商海盗船RMX8502018款,6757737,3.44kg,中国大陆,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞,金牌（90%）,RM850X2018款,100-240V,支持温控,850W,160*150*86,1.659,6个,850W,支持宽幅,CCC认证,10年,,支持风扇启停,海盗船CORSAIR,ATX电源,13.5cm,10个,2个,8个,6个,20+4pin,主动式PFC,610mm,CP-9020180-CN
146,美商海盗船RMX7502018款,6757755,3.28kg,中国大陆,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞,金牌（90%）,RM750X2018款,100-240V,支持温控,750W,160*150*86,1.659,4个,750W,支持宽幅,CCC认证,10年,,支持风扇启停,海盗船CORSAIR,ATX电源,13.5cm,9个,2个,8个,4个,20+4pin,主动式PFC,610mm,CP-9020179-CN
