,商品名称,商品编号,店铺,商品毛重,货号,芯片组,性能,质保期,显存容量,是否支持PCIE4.0,显存类型,接口,散热风扇,显存位宽,型号,灯效,品牌,流处理单元,核心品牌,核心频率,DirectX,电源接口,建议电源,显卡长度,商品产地,适用游戏,核心代号,芯片制程,是否支持显卡交火,风扇调速,散热器类型,产品尺寸（mm）,最大分辨率,显存频率,质保年限
76,七彩虹（Colorful）RTX2060SUPER,10022053549725,七彩虹旗舰店,3.0kg,,NVIDIA,游戏，发烧，家用/办公,3年质保,8GB,不支持PCIE4.0,GDDR6,HDMI，DP,三风扇,256bit,RTX2060S,RGB,七彩虹COLORFUL,,NVIDIA,其他,最高支持DirectX11.1,8pinx1,550W以上,31cm,中国大陆,魔兽世界，看门狗，GTA5,,,不支持显卡交火,支持调速,风冷,长222mm；宽126mm；高42mm,7680x4320@60Hz,,
77,盈通盈通RX550-4GD5极速版,100028119538,,0.52kg,,AMD芯片,游戏,2年质保,4GB,不支持PCIE4.0,GDDR5,PCI-E3.0,单风扇,128bit,RX550,无光,盈通Yeston,512个,AMD,1183MHz,,无,300W以上,14.5cm,中国大陆,,,,,不支持调速,风冷,,,6000MHz,
78,蓝宝石RX6700XT,100010663011,,1.5kg,,AMD芯片,发烧,2年质保,12GB,支持PCIE4.0,GDDR6,PCI-E4.0,三风扇,192bit,其他,RGB,蓝宝石SAPPHIRE,2560,AMD,upto2622MHz,最高支持DirectX12.1,8pin+6pin,650W及以上,31cm,中国大陆,孤岛危机3，吃鸡游戏，GTA5,,,,,风冷,310*151*51mm,支持8K分辨率,16Gbps,
79,七彩虹（Colorful）2060,59073248181,新东海晨旭电脑配件专营店,2.0kg,2060OCV2,NVIDIA,,3年质保,6GB,不支持PCIE4.0,GDDR6,HDMI，DP,三风扇,其他,其他,无光,七彩虹COLORFUL,,NVIDIA,其他,,其他,500W以上,31cm,中国大陆,吃鸡游戏，Apex英雄,,,,支持调速,,,,,
80,华硕TUF-RX6900XT-O16G-GAMING,100017819882,,2.32kg,,AMD芯片,,3年质保,16GB,支持PCIE4.0,GDDR6,HDMI，DP,三风扇,256bit,其他,RGB,,,AMD,其他,,8pinx2,700W以上,32cm,中国大陆,魔兽世界，剑网3，吃鸡游戏,,,,,,32x14.02x5.78厘米,,,
81,蓝宝石RX6700XT,100010663011,,1.5kg,,AMD芯片,发烧,2年质保,12GB,支持PCIE4.0,GDDR6,PCI-E4.0,三风扇,192bit,其他,RGB,蓝宝石SAPPHIRE,2560,AMD,upto2622MHz,最高支持DirectX12.1,8pin+6pin,650W及以上,31cm,中国大陆,孤岛危机3，吃鸡游戏，GTA5,,,,,风冷,310*151*51mm,支持8K分辨率,16Gbps,
82,【二手95新】华硕RTX2060七彩虹技嘉猛禽微星魔龙影驰吃鸡游戏永劫无间光追独立显卡华硕RTX2060-O6G,65183537493,晶瑞二手电脑专营店,3.5kg,RTX2060,,,,,,,,,,,,,,,,,,,,中国大陆,,,,,,,,,,
83,影驰影驰（Galaxy）GeForceRTX3060Ti金属大师OC[FG]N卡/电竞专业游戏显卡,100022076298,,1.425kg,,NVIDIA,游戏,3年质保,8GB,支持PCIE4.0,GDDR6,HDMI，DP,三风扇,256bit,其他,无光,,,NVIDIA,其他,,8pinx1,650W以上,31.8cm,中国大陆,吃鸡游戏，DOTA2，逆战,,,,,,,,,
84,影驰影驰（Galaxy）GeForceRTX3060Ti金属大师OC[FG]N卡/电竞专业游戏显卡,100022076298,,1.425kg,,NVIDIA,游戏,3年质保,8GB,支持PCIE4.0,GDDR6,HDMI，DP,三风扇,256bit,其他,无光,,,NVIDIA,其他,,8pinx1,650W以上,31.8cm,中国大陆,吃鸡游戏，DOTA2，逆战,,,,,,,,,
85,华硕TUF-RTX3080-O10G-V2-GAMING,100023920148,,1.96kg,,NVIDIA,,3年质保,10GB,支持PCIE4.0,GDDR6X,PCI-E4.0,三风扇,320bit,RTX3080,RGB,,,NVIDIA,其他,,8pinx2,700W以上,30cm,中国大陆,,,,,,,,,,
86,华硕（ASUS）ROGRTX3060\/3060TiO8G台式机电脑吃鸡游戏电竞独立显卡华硕显卡DUAL-RTX3060-O12G-V2,10034519138617,余新电脑配件专营店,1.9kg,,NVIDIA,,3年质保,其他,支持PCIE4.0,其他,HDMI,其他,其他,其他,单光,,,NVIDIA,其他,,其他,650W以上,25cm,,,,,,,,,,,
87,讯景（XFX）RX6700XT,10028607639010,讯景旗舰店,2.0kg,,AMD芯片,游戏，发烧，科学运算，家用/办公,2年质保,12GB,支持PCIE4.0,GDDR6,PCI-E4.0,三风扇,192bit,RX6700XT,无光,讯景XFX,,AMD,其他,最高支持DirectX12.1,8pinx2,600W以上,32.3cm,,逆战，CS,,7纳米,不支持显卡交火,支持调速,风冷,,,,
88,映众GeForceRTX2060黑金至尊版,100002801802,,0.915kg,,,游戏,3年质保,6GB,,GDDR6,PCI-E3.0,双风扇,192bit,,,映众Inno3D,1920,NVIDIA,1680MHz,最高支持DirectX12.1,8pinx1,500W以上,21.5cm,中国大陆,激战2，吃鸡游戏，全面战争,,,,支持调速,风冷,约215*117mm（长*高），双插槽,7680x4320@60Hz,14Gbps,
89,技嘉GV-N166SOC-6GD,100009282940,,0.84kg,,NVIDIA,游戏,3年质保,6GB,不支持PCIE4.0,GDDR6,HDMI，DP,双风扇,192bit,其他,无光,,,NVIDIA,其他,,8pinx1,450W以上,22cm,中国,,,,,,,,,,
90,七彩虹战斧GeForceGTX16504GD6,100022017822,,0.725kg,,NVIDIA,游戏,3年质保,4GB,不支持PCIE4.0,GDDR6,HDMI，DP，DVI,双风扇,128bit,GTX1650,无光,七彩虹COLORFUL,,NVIDIA,其他,,6pinx1,300W以上,23cm,中国大陆,,,,,,风冷,232*127*39mm,,,
91,影驰影驰（Galaxy）GeForceRTX3060Ti金属大师OC[FG]N卡/电竞专业游戏显卡,100022076298,,1.425kg,,NVIDIA,游戏,3年质保,8GB,支持PCIE4.0,GDDR6,HDMI，DP,三风扇,256bit,其他,无光,,,NVIDIA,其他,,8pinx1,650W以上,31.8cm,中国大陆,吃鸡游戏，DOTA2，逆战,,,,,,,,,
92,影驰影驰（Galaxy）GeForceRTX3060Ti金属大师OC[FG]N卡/电竞专业游戏显卡,100022076298,,1.425kg,,NVIDIA,游戏,3年质保,8GB,支持PCIE4.0,GDDR6,HDMI，DP,三风扇,256bit,其他,无光,,,NVIDIA,其他,,8pinx1,650W以上,31.8cm,中国大陆,吃鸡游戏，DOTA2，逆战,,,,,,,,,
93,蓝宝石RX6700XT,100010663011,,1.5kg,,AMD芯片,发烧,2年质保,12GB,支持PCIE4.0,GDDR6,PCI-E4.0,三风扇,192bit,其他,RGB,蓝宝石SAPPHIRE,2560,AMD,upto2622MHz,最高支持DirectX12.1,8pin+6pin,650W及以上,31cm,中国大陆,孤岛危机3，吃鸡游戏，GTA5,,,,,风冷,310*151*51mm,支持8K分辨率,16Gbps,
94,七彩虹（Colorful）2060,59073248181,新东海晨旭电脑配件专营店,2.0kg,2060OCV2,NVIDIA,,3年质保,6GB,不支持PCIE4.0,GDDR6,HDMI，DP,三风扇,其他,其他,无光,七彩虹COLORFUL,,NVIDIA,其他,,其他,500W以上,31cm,中国大陆,吃鸡游戏，Apex英雄,,,,支持调速,,,,,
95,蓝宝石RX6700XT,100010663011,,1.5kg,,AMD芯片,发烧,2年质保,12GB,支持PCIE4.0,GDDR6,PCI-E4.0,三风扇,192bit,其他,RGB,蓝宝石SAPPHIRE,2560,AMD,upto2622MHz,最高支持DirectX12.1,8pin+6pin,650W及以上,31cm,中国大陆,孤岛危机3，吃鸡游戏，GTA5,,,,,风冷,310*151*51mm,支持8K分辨率,16Gbps,
96,索泰RTX3060-12GD6PGFXGOC,100011721607,,2.76kg,,NVIDIA,发烧,3年质保,12GB,支持PCIE4.0,GDDR6,PCI-E4.0,三风扇,192bit,其他,RGB,索泰ZOTAC,,NVIDIA,1320-1897MHz,最高支持DirectX12.1,8pinx2,650W以上,30.9cm,中国大陆,吃鸡游戏，GTA5，战地5,,,,支持调速,风冷,30.9X13.6X6.1cm,7680*4320,15000MHz,
97,技嘉GV-N2060D6-6GD,100022009674,,0.82kg,,NVIDIA,游戏，家用/办公,3年质保,6GB,不支持PCIE4.0,GDDR6,PCI-E3.0,双风扇,192bit,RTX2060,无光,技嘉GIGABYTE,,NVIDIA,1680MHz,,8pinx1,500W以上,22.4cm,中国,英雄联盟，吃鸡游戏，DOTA2,,,,,风冷,H=41L=224W=121,7680x4320,1400MHz,
98,技嘉AORUSRTX3080Ti大雕超级雕魔鹰雪鹰白色12G游戏设计渲染光线追踪电脑显卡【大雕】3080TiAORUSX-12GB,10026150413922,技嘉旗舰店,3.0kg,,NVIDIA,游戏，发烧，科学运算,3年质保,12GB,支持PCIE4.0,GDDR6X,PCI-E4.0,三风扇,384bit,其他,RGB,技嘉GIGABYTE,,NVIDIA,其他,最高支持DirectX12.1,8pin×3,700W以上,30cm,,英雄联盟，吃鸡游戏，2K15,,8纳米,不支持显卡交火,支持调速,风冷,,,10Gbps,
99,技嘉GV-N166SOC-6GD,100009282940,,0.84kg,,NVIDIA,游戏,3年质保,6GB,不支持PCIE4.0,GDDR6,HDMI，DP,双风扇,192bit,其他,无光,,,NVIDIA,其他,,8pinx1,450W以上,22cm,中国,,,,,,,,,,
100,影驰RTX3070TI8G,10033409576143,影驰旗舰店,2.0kg,,NVIDIA,游戏，发烧,3年质保,8GB,支持PCIE4.0,GDDR6X,PCI-E4.0,三风扇,256bit,RTX3070Ti,无光,影驰GALAXY,16,NVIDIA,,最高支持DirectX12.1,8pinx2,700W以上,33cm,,英雄联盟，吃鸡游戏，Apex英雄,GP104-400,8纳米,不支持显卡交火,不支持调速,,,,,
101,七彩虹iGameGeForceRTX3070TiUltraWOC,100011688141,,1.82kg,,NVIDIA,发烧,3年质保,8GB,支持PCIE4.0,GDDR6X,PCI-E4.0,三风扇,256bit,RTX3070Ti,RGB,七彩虹COLORFUL,,NVIDIA,其他,,8pinx2,650W以上,31cm,中国大陆,,,,,,,310*131.5*60mm,,,
102,影驰影驰（Galaxy）GeForceRTX3060Ti金属大师OC[FG]N卡/电竞专业游戏显卡,100022076298,,1.425kg,,NVIDIA,游戏,3年质保,8GB,支持PCIE4.0,GDDR6,HDMI，DP,三风扇,256bit,其他,无光,,,NVIDIA,其他,,8pinx1,650W以上,31.8cm,中国大陆,吃鸡游戏，DOTA2，逆战,,,,,,,,,
103,华硕TUF-RTX3060-O12G-V2-GAMING,100011555183,,1.65kg,,NVIDIA,,3年质保,12GB,支持PCIE4.0,GDDR6,HDMI，DP,三风扇,192bit,RTX3060,RGB,,,NVIDIA,其他,,8pinx1,650W以上,30cm,中国大陆,,,,,,,,,,
104,影驰影驰（Galaxy）GeForceRTX3060Ti金属大师OC[FG]N卡/电竞专业游戏显卡,100022076298,,1.425kg,,NVIDIA,游戏,3年质保,8GB,支持PCIE4.0,GDDR6,HDMI，DP,三风扇,256bit,其他,无光,,,NVIDIA,其他,,8pinx1,650W以上,31.8cm,中国大陆,吃鸡游戏，DOTA2，逆战,,,,,,,,,
105,影驰影驰（Galaxy）GeForceRTX3070TiHOFPro旗舰级电脑电竞游戏专业显卡,100025121776,,2.19kg,,NVIDIA,游戏,3年质保,8GB,支持PCIE4.0,GDDR6X,HDMI，DP,三风扇,256bit,RTX3070Ti,RGB,,,NVIDIA,其他,,8pinx2,850w以上,30.3cm,中国大陆,吃鸡游戏，DOTA2，逆战,,,,,,,,,
106,七彩虹（Colorful）iGameGeForceRTX3060AdvancedOC,10034771810731,方鑫数码专营店,3.0kg,,NVIDIA,,3年质保,其他,支持PCIE4.0,其他,HDMI，DP,三风扇,其他,其他,无光,,,NVIDIA,其他,,其他,550W以上,31.5cm,,,,,,,,,,,
107,技嘉（GIGABYTE）RTX2060/1660OC6G电竞吃鸡直播电脑游戏显卡光线追踪DDR62060D66G【支持光线追踪】,10026147226565,技嘉旗舰店,3.0kg,,NVIDIA,游戏，家用/办公，专业显卡Quadro/Tesla,3年质保,6GB,不支持PCIE4.0,GDDR6,PCI-E3.0,其他,192bit,其他,RGB,技嘉GIGABYTE,,NVIDIA,其他,,8pinx1,450W以上,22.4cm,,英雄联盟，吃鸡游戏，GTA5,,12纳米,不支持显卡交火,支持调速,风冷,,,,
108,索泰RTX3060-12GD6PGFXGOC,100011721607,,2.76kg,,NVIDIA,发烧,3年质保,12GB,支持PCIE4.0,GDDR6,PCI-E4.0,三风扇,192bit,其他,RGB,索泰ZOTAC,,NVIDIA,1320-1897MHz,最高支持DirectX12.1,8pinx2,650W以上,30.9cm,中国大陆,吃鸡游戏，GTA5，战地5,,,,支持调速,风冷,30.9X13.6X6.1cm,7680*4320,15000MHz,
109,七彩虹（Colorful）战斧GeForceRTX3060,10038551992412,华之硕电脑专营店,2.3kg,,NVIDIA,游戏，发烧,3年质保,12GB,支持PCIE4.0,GDDR6,PCI-E4.0,三风扇,192bit,其他,RGB,,,NVIDIA,其他,,8pinx1,600W以上,31cm,,,,,不支持显卡交火,,,长310mm；宽130mm；高53mm,,,
110,索泰RTX3060-12GD6PGFXGOC,100011721607,,2.76kg,,NVIDIA,发烧,3年质保,12GB,支持PCIE4.0,GDDR6,PCI-E4.0,三风扇,192bit,其他,RGB,索泰ZOTAC,,NVIDIA,1320-1897MHz,最高支持DirectX12.1,8pinx2,650W以上,30.9cm,中国大陆,吃鸡游戏，GTA5，战地5,,,,支持调速,风冷,30.9X13.6X6.1cm,7680*4320,15000MHz,
111,七彩虹战斧GeForceGTX16504GD6,100022017822,,0.725kg,,NVIDIA,游戏,3年质保,4GB,不支持PCIE4.0,GDDR6,HDMI，DP，DVI,双风扇,128bit,GTX1650,无光,七彩虹COLORFUL,,NVIDIA,其他,,6pinx1,300W以上,23cm,中国大陆,,,,,,风冷,232*127*39mm,,,
112,技嘉（GIGABYTE）GTX2060,10029967636316,技嘉翰讯专卖店,1.2kg,,NVIDIA,,3年质保,6GB,支持PCIE4.0,GDDR6,HDMI，DP,其他,其他,其他,无光,技嘉GIGABYTE,,NVIDIA,其他,最高支持DirectX12.1,其他,500W以上,27cm,中国大陆,,,,不支持显卡交火,,,,,,
113,七彩虹（Colorful）2060,59073248181,新东海晨旭电脑配件专营店,2.0kg,2060OCV2,NVIDIA,,3年质保,6GB,不支持PCIE4.0,GDDR6,HDMI，DP,三风扇,其他,其他,无光,七彩虹COLORFUL,,NVIDIA,其他,,其他,500W以上,31cm,中国大陆,吃鸡游戏，Apex英雄,,,,支持调速,,,,,
114,七彩虹（Colorful）2060,59073248181,新东海晨旭电脑配件专营店,2.0kg,2060OCV2,NVIDIA,,3年质保,6GB,不支持PCIE4.0,GDDR6,HDMI，DP,三风扇,其他,其他,无光,七彩虹COLORFUL,,NVIDIA,其他,,其他,500W以上,31cm,中国大陆,吃鸡游戏，Apex英雄,,,,支持调速,,,,,
115,技嘉RTX3060/TiGAMING/VISIONOC12G猎鹰魔鹰白色雪鹰小雕游戏显卡3060TI-GAMINGOC-8G【魔鹰2.0】,10034740150169,技嘉旗舰店,2.0kg,,NVIDIA,游戏,3年质保,8GB,支持PCIE4.0,GDDR6,HDMI，DP,其他,256bit,其他,RGB,技嘉GIGABYTE,,NVIDIA,其他,最高支持DirectX12.1,8pinx1,550W以上,282cm,,英雄联盟，GTA5，战地5,,8纳米,不支持显卡交火,支持调速,,,,,
116,华硕ROG-STRIX-RTX3080-O10G-V2-GAMING,100012117639,,2.44kg,,NVIDIA,,3年质保,10GB,支持PCIE4.0,GDDR6X,PCI-E4.0,三风扇,320bit,RTX3080,RGB,华硕ASUS,,NVIDIA,其他,,8pin×3,700W以上,32cm,中国大陆,,,,,,,,,,
117,技嘉GV-N306TGAMINGOC-8GD2.0,100024498924,,1.225kg,,NVIDIA,,3年质保,8GB,支持PCIE4.0,GDDR6,PCI-E4.0,三风扇,256bit,RTX3060Ti,RGB,,,NVIDIA,其他,,8pinx1,600W以上,28.2cm,中国,,,,,,,长282mm；宽117mm；高41mm,,,
118,技嘉AORUSRTX3080Ti大雕超级雕魔鹰雪鹰白色12G游戏设计渲染光线追踪电脑显卡【大雕】3080TiAORUSX-12GB,10026150413922,技嘉旗舰店,3.0kg,,NVIDIA,游戏，发烧，科学运算,3年质保,12GB,支持PCIE4.0,GDDR6X,PCI-E4.0,三风扇,384bit,其他,RGB,技嘉GIGABYTE,,NVIDIA,其他,最高支持DirectX12.1,8pin×3,700W以上,30cm,,英雄联盟，吃鸡游戏，2K15,,8纳米,不支持显卡交火,支持调速,风冷,,,10Gbps,
119,技嘉GV-N306TGAMINGOC-8GD2.0,100024498924,,1.225kg,,NVIDIA,,3年质保,8GB,支持PCIE4.0,GDDR6,PCI-E4.0,三风扇,256bit,RTX3060Ti,RGB,,,NVIDIA,其他,,8pinx1,600W以上,28.2cm,中国,,,,,,,长282mm；宽117mm；高41mm,,,
120,技嘉GV-N3070GAMINGOC-8GD,100023553870,,1.51kg,,NVIDIA,,3年质保,8GB,支持PCIE4.0,GDDR6,PCI-E4.0,三风扇,256bit,RTX3070,RGB,,,NVIDIA,其他,,8pin+6pin,650W以上,28.6cm,中国,,,,,,,长286mm；宽115mm；高51mm,,,
121,技嘉GV-N166SOC-6GD,100009282940,,0.84kg,,NVIDIA,游戏,3年质保,6GB,不支持PCIE4.0,GDDR6,HDMI，DP,双风扇,192bit,其他,无光,,,NVIDIA,其他,,8pinx1,450W以上,22cm,中国,,,,,,,,,,
122,七彩虹（Colorful）GTX1650/1650Super,10026522540243,星辰聚官方旗舰店,0.6kg,GTX1650/1650Super,NVIDIA,游戏，家用/办公,3年质保,4GB,支持PCIE4.0,GDDR5,PCI-E3.0,双风扇,128bit,其他,无光,七彩虹COLORFUL,128,NVIDIA,其他,最高支持DirectX10.0,6pinx1,300W以上,23.2cm,,英雄联盟，守望先锋，天龙八部,TU106,0.11微米,不支持显卡交火,支持调速,风冷,,,,
123,影驰影驰（Galaxy）GeForceGTX1660大将,100003883762,,0.98kg,,NVIDIA,游戏,3年质保,6GB,不支持PCIE4.0,GDDR5,HDMI，DP,双风扇,192bit,其他,无光,,,NVIDIA,其他,其他,6pinx1,450W以上,24.6cm,中国大陆,剑网3，吃鸡游戏，DOTA2,,,,,,246×135×43mm,,,
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,【二手95新】华硕（ASUS）七彩虹影驰微星GTX1050Ti4G台式机独立游戏显卡七彩虹GTX1050Ti-4G单风扇,10032548098869,恒硕二手电脑专营店,5.0kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,七彩虹战斧GeForceGTX16504GD6,100022017822,,0.725kg,,NVIDIA,游戏,3年质保,4GB,不支持PCIE4.0,GDDR6,HDMI，DP，DVI,双风扇,128bit,GTX1650,无光,七彩虹COLORFUL,,NVIDIA,其他,,6pinx1,300W以上,23cm,中国大陆,,,,,,风冷,232*127*39mm,,,
127,盈通盈通（yeston）GTX1050Ti4GD5极速版,100019033224,,0.615kg,,NVIDIA,游戏，家用/办公,2年质保,4GB,不支持PCIE4.0,GDDR5,PCI-E3.0,单风扇,128bit,GTX1050Ti,无光,盈通Yeston,768,NVIDIA,1291-1392MHz,,无,300W以上,18.7cm,中国大陆,穿越火线，DOTA2，逆战,GP107,,,不支持调速,风冷,187*116*42mm,,7008MHz,
128,七彩虹（Colorful）GTX1650/1650Super,10026522540243,星辰聚官方旗舰店,0.6kg,GTX1650/1650Super,NVIDIA,游戏，家用/办公,3年质保,4GB,支持PCIE4.0,GDDR5,PCI-E3.0,双风扇,128bit,其他,无光,七彩虹COLORFUL,128,NVIDIA,其他,最高支持DirectX10.0,6pinx1,300W以上,23.2cm,,英雄联盟，守望先锋，天龙八部,TU106,0.11微米,不支持显卡交火,支持调速,风冷,,,,
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,七彩虹战斧GeForceGTX16504GD6,100022017822,,0.725kg,,NVIDIA,游戏,3年质保,4GB,不支持PCIE4.0,GDDR6,HDMI，DP，DVI,双风扇,128bit,GTX1650,无光,七彩虹COLORFUL,,NVIDIA,其他,,6pinx1,300W以上,23cm,中国大陆,,,,,,风冷,232*127*39mm,,,
131,七彩虹GeForceGTX1650/1050TI台式机电竞游戏组装电脑主机独立显卡1050Ti灵动鲨+500W电源+500G固态,63859736115,京天DIY电脑旗舰店,1.0kg,,NVIDIA,游戏,3年质保,4GB,支持PCIE4.0,GDDR5,HDMI，DP，DVI,双风扇,其他,其他,RGB,七彩虹COLORFUL,,NVIDIA,其他,,无,400W以上,240cm,中国大陆,巫师3，看门狗，仙剑七,,14纳米,不支持显卡交火,不支持调速,,,,,
132,七彩虹GeForceGTX1650/1050TI台式机电竞游戏组装电脑主机独立显卡1050Ti灵动鲨+500W电源+500G固态,63859736115,京天DIY电脑旗舰店,1.0kg,,NVIDIA,游戏,3年质保,4GB,支持PCIE4.0,GDDR5,HDMI，DP，DVI,双风扇,其他,其他,RGB,七彩虹COLORFUL,,NVIDIA,其他,,无,400W以上,240cm,中国大陆,巫师3，看门狗，仙剑七,,14纳米,不支持显卡交火,不支持调速,,,,,
133,七彩虹战斧GeForceGTX16504GD6,100022017822,,0.725kg,,NVIDIA,游戏,3年质保,4GB,不支持PCIE4.0,GDDR6,HDMI，DP，DVI,双风扇,128bit,GTX1650,无光,七彩虹COLORFUL,,NVIDIA,其他,,6pinx1,300W以上,23cm,中国大陆,,,,,,风冷,232*127*39mm,,,
134,丽台QuadroP620,6959146,,0.94kg,,NVIDIA,专业显卡Quadro/Tesla,3年质保,2GB,不支持PCIE4.0,GDDR5,PCI-E3.0,单风扇,128bit,其他,无光,丽台Leadtek,,NVIDIA,其他,最高支持DirectX12.1,无,300W以上,16.5cm,中国大陆,,,14纳米,不支持显卡交火,不支持调速,风冷,,4X5120*2880@60Hz,,
135,技嘉GV-N2060D6-6GD,100022009674,,0.82kg,,NVIDIA,游戏，家用/办公,3年质保,6GB,不支持PCIE4.0,GDDR6,PCI-E3.0,双风扇,192bit,RTX2060,无光,技嘉GIGABYTE,,NVIDIA,1680MHz,,8pinx1,500W以上,22.4cm,中国,英雄联盟，吃鸡游戏，DOTA2,,,,,风冷,H=41L=224W=121,7680x4320,1400MHz,
136,丽台（LEADTEK）P2200,10026503658931,导创数码专营店,2.0kg,,NVIDIA,专业显卡Quadro/Tesla,3年质保,其他,不支持PCIE4.0,GDDR5,PCI-E3.0,单风扇,160bit,其他,无光,丽台Leadtek,,NVIDIA,其他,,无,400W以上,14.5cm,,,,,,,,长120mm；宽145mm；高20mm,,,
137,英伟达（NVIDIA）QuadroP620P1000P2200T600T1000T400,12104063405,珑京DIY专营店,1.0kg,,NVIDIA,专业显卡Quadro/Tesla,3年质保,其他,不支持PCIE4.0,GDDR5,DP，Mini-DP,单风扇,其他,其他,无光,其它,,NVIDIA,其他,最高支持DirectX12.1,其他,500W以上,27cm,,,,,不支持显卡交火,支持调速,,,,,
138,丽台（LEADTEK）P1000,10032523284103,丽台怡然专卖店,4.1kg,,NVIDIA,专业显卡Quadro/Tesla,3年质保,4GB,不支持PCIE4.0,GDDR5,Mini-DP,其他,128bit,P1000,无光,丽台Leadtek,,NVIDIA,其他,,其他,300W以上,14cm,,,,,,,,,,,
139,丽台（LEADTEK）QuadroP620,10034599897734,品立电脑办公专营店,0.94kg,T600,NVIDIA,专业显卡Quadro/Tesla,3年质保,2GB,不支持PCIE4.0,GDDR5,PCI-E3.0,单风扇,128bit,其他,无光,丽台Leadtek,512,NVIDIA,其他,,其他,300W以上,16.5cm,中国大陆,魔兽世界，梦幻西游2，NBA,,12纳米,不支持显卡交火,不支持调速,风冷,长165mm；宽69mm；高25mm,5120*2880,其他,
140,丽台（LEADTEK）P2200,10026503658931,导创数码专营店,2.0kg,,NVIDIA,专业显卡Quadro/Tesla,3年质保,其他,不支持PCIE4.0,GDDR5,PCI-E3.0,单风扇,160bit,其他,无光,丽台Leadtek,,NVIDIA,其他,,无,400W以上,14.5cm,,,,,,,,长120mm；宽145mm；高20mm,,,
141,NVIDIA英伟达RTXA4000/RTXA5000/RTXA6000/RTX8000专业显卡NVIDIAQuadroRTX40008G,14580469487,珑京DIY专营店,1.5kg,,NVIDIA,,3年质保,其他,不支持PCIE4.0,其他,DP，Type-C,涡轮风扇,其他,其他,无光,,,NVIDIA,其他,最高支持DirectX12.1,其他,600W以上,30cm,其他,魔兽世界，吃鸡游戏，DOTA2,TU106,,,支持调速,,,,,
142,丽台（LEADTEK）QuadroP620,10034599897734,品立电脑办公专营店,0.94kg,T600,NVIDIA,专业显卡Quadro/Tesla,3年质保,2GB,不支持PCIE4.0,GDDR5,PCI-E3.0,单风扇,128bit,其他,无光,丽台Leadtek,512,NVIDIA,其他,,其他,300W以上,16.5cm,中国大陆,魔兽世界，梦幻西游2，NBA,,12纳米,不支持显卡交火,不支持调速,风冷,长165mm；宽69mm；高25mm,5120*2880,其他,
143,丽台（LEADTEK）P1000,10032523284103,丽台怡然专卖店,4.1kg,,NVIDIA,专业显卡Quadro/Tesla,3年质保,4GB,不支持PCIE4.0,GDDR5,Mini-DP,其他,128bit,P1000,无光,丽台Leadtek,,NVIDIA,其他,,其他,300W以上,14cm,,,,,,,,,,,
144,丽台（LEADTEK）P1000,10032523284103,丽台怡然专卖店,4.1kg,,NVIDIA,专业显卡Quadro/Tesla,3年质保,4GB,不支持PCIE4.0,GDDR5,Mini-DP,其他,128bit,P1000,无光,丽台Leadtek,,NVIDIA,其他,,其他,300W以上,14cm,,,,,,,,,,,
145,NVIDIA英伟达RTXA4000/RTXA5000/RTXA6000/RTX8000专业显卡NVIDIAQuadroRTX40008G,14580469487,珑京DIY专营店,1.5kg,,NVIDIA,,3年质保,其他,不支持PCIE4.0,其他,DP，Type-C,涡轮风扇,其他,其他,无光,,,NVIDIA,其他,最高支持DirectX12.1,其他,600W以上,30cm,其他,魔兽世界，吃鸡游戏，DOTA2,TU106,,,支持调速,,,,,
146,NVIDIA英伟达RTXA4000/RTXA5000/RTXA6000/RTX8000专业显卡NVIDIAQuadroRTX40008G,14580469487,珑京DIY专营店,1.5kg,,NVIDIA,,3年质保,其他,不支持PCIE4.0,其他,DP，Type-C,涡轮风扇,其他,其他,无光,,,NVIDIA,其他,最高支持DirectX12.1,其他,600W以上,30cm,其他,魔兽世界，吃鸡游戏，DOTA2,TU106,,,支持调速,,,,,
147,NVIDIA英伟达RTXA4000/RTXA5000/RTXA6000/RTX8000专业显卡NVIDIAQuadroRTX40008G,14580469487,珑京DIY专营店,1.5kg,,NVIDIA,,3年质保,其他,不支持PCIE4.0,其他,DP，Type-C,涡轮风扇,其他,其他,无光,,,NVIDIA,其他,最高支持DirectX12.1,其他,600W以上,30cm,其他,魔兽世界，吃鸡游戏，DOTA2,TU106,,,支持调速,,,,,
148,AMD6700XT,10031574785447,中联电脑配件专营店,2.68kg,X1,AMD芯片,,,12GB,支持PCIE4.0,GDDR6,HDMI，DP，Type-C,三风扇,其他,其他,RGB,AMD,,AMD,其他,,其他,700W以上,26.7cm,,,,7纳米,,,,,,,2年质保
149,影驰3090HOFExtreme,100018346278,,4.38kg,,NVIDIA,游戏,,24GB,支持PCIE4.0,GDDR6X,HDMI，DP,三风扇,384bit,RTX3090,RGB,,,NVIDIA,其他,,8pin×3,1000w以上,33.5cm,中国大陆,吃鸡游戏，DOTA2，逆战,,,,,,,,,3年质保
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
