,商品名称,商品编号,商品毛重,商品产地,货号,NVMe读速,容量,接口,系列,型号,品牌,顺序写入,顺序读速,闪存类型,缓存,保存温度,工作温度,产品尺寸（mm）,TBW,店铺
86,金胜维（KingSpec）NE-XXX2280/EX-XXXPRO,10026829434693,20.00g,中国大陆,NE-XXX2280/EX-XXXPRO,3000MB/s以上,(480-512)GB,M.2接口(NVMe协议),EX系列,EX-512PRO,金胜维（KingSpec）,,,TLC,无缓存,-20~75°C,0~70°C,22*80mm,,金胜维官方旗舰店
87,西部数据WDS250G2B0C,100010653792,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,(240-256)GB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS250G2B0C,西部数据（WesternDigital）,950MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,150TBW,
88,西部数据WDS500G2B0C,100005926989,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,(480-512)GB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS500G2B0C,西部数据（WesternDigital）,1750MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,300TBW,
89,西部数据（WesternDigital）NVMEM.22280台式机笔记本SSD固态硬盘蓝盘M.2SATA协议250G,47665681038,300.00g,,,,(240-256)GB,M.2接口（SATA总线）,BlueSSD固态硬盘,WDS250G2B0B,西部数据（WesternDigital）,525MB/s,550MB/s,其他,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.23mm,600TBW,西部数码IT专营店
90,西部数据WDS500G2B0C,100005926989,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,(480-512)GB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS500G2B0C,西部数据（WesternDigital）,1750MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,300TBW,
91,西部数据WDS100T1B0E-00B3V0,100025295846,50.00g,泰国、马来西亚、中国,,3000-4500MB/s,960GB-1TB,M.2接口(NVMe协议),WD_BLACK系列,WDS100T1B0E-00B3V0,西部数据（WesternDigital）,2830MB/s,3600MB/s,TLC,无缓存,-55oC到85oC,0oC到70oC,长80mm；宽22mm；高2.38mm,600TBW,
92,西部数据WDS100T3B0C,100028004984,40.00g,中国大陆/马来西亚/泰国,,3000-4500MB/s,960GB-1TB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS100T3B0C,西部数据（WesternDigital）,3000MB/s,3500MB/s,TLC,无缓存,-40oCto85oC,0oCto70oC,长80mm；宽22mm；高2.38mm,600TBW,
93,西部数据WDS500G2B0C,100005926989,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,(480-512)GB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS500G2B0C,西部数据（WesternDigital）,1750MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,300TBW,
94,西部数据WDS500G2B0C,100005926989,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,(480-512)GB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS500G2B0C,西部数据（WesternDigital）,1750MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,300TBW,
95,三星980980PRO970EVOSSD固态硬盘笔记本台式机电脑M.2接口NVMe协议980500G｜NVMePCIe3.0,67832283906,100.00g,中国大陆,,,(480-512)GB,,980,MZ-V8V500BW,其它,,,QLC,256M,-45°C~85°C,0-70℃运行温度,长100mm；宽69.85mm；高6.8mm,150TBW,灵竞DIY旗舰店
96,西部数据WDS500G2B0C,100005926989,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,(480-512)GB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS500G2B0C,西部数据（WesternDigital）,1750MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,300TBW,
97,西部数据WDS500G2B0C,100005926989,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,(480-512)GB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS500G2B0C,西部数据（WesternDigital）,1750MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,300TBW,
98,西部数据WDS100T1B0E-00B3V0,100025295846,50.00g,泰国、马来西亚、中国,,3000-4500MB/s,960GB-1TB,M.2接口(NVMe协议),WD_BLACK系列,WDS100T1B0E-00B3V0,西部数据（WesternDigital）,2830MB/s,3600MB/s,TLC,无缓存,-55oC到85oC,0oC到70oC,长80mm；宽22mm；高2.38mm,600TBW,
99,西部数据WDS500G2B0C,100005926989,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,(480-512)GB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS500G2B0C,西部数据（WesternDigital）,1750MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,300TBW,
100,西部数据（WesternDigital）Gen4技术WD_BLACKSN850NVMeSN8502TB,10025455018857,1.0kg,,,4500MB/s及以上,2TB及以上,M.2接口(NVMe协议),WD_BLACK系列,WDS200T1X0E,西部数据（WesternDigital）,5100MB/s,7000MB/s,TLC,512M,-55oCto85oC,0oCto70oC,长80mm；宽22mm；高3mm,,西部数码IT专营店
101,西部数据WDS100T3B0C,100028004984,40.00g,中国大陆/马来西亚/泰国,,3000-4500MB/s,960GB-1TB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS100T3B0C,西部数据（WesternDigital）,3000MB/s,3500MB/s,TLC,无缓存,-40oCto85oC,0oCto70oC,长80mm；宽22mm；高2.38mm,600TBW,
102,西部数据WDS100T3B0C,100028004984,40.00g,中国大陆/马来西亚/泰国,,3000-4500MB/s,960GB-1TB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS100T3B0C,西部数据（WesternDigital）,3000MB/s,3500MB/s,TLC,无缓存,-40oCto85oC,0oCto70oC,长80mm；宽22mm；高2.38mm,600TBW,
103,三星（SAMSUNG）970EVO/PRO/980m2固态硬盘M.2(NVMe协议)台式机笔记本980500G/512G,10027526838783,200.00g,,,3000-4500MB/s,(480-512)GB,M.2接口(NVMe协议),980,MZ-V8V500BW,,2600MB/s,3100MB/s,,,-40~85°C,0°Cto70°C,长80.15mm；宽22.15mm；高2.38mm,,存储先锋旗舰店
104,西部数据WDS100T3B0C,100028004984,40.00g,中国大陆/马来西亚/泰国,,3000-4500MB/s,960GB-1TB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS100T3B0C,西部数据（WesternDigital）,3000MB/s,3500MB/s,TLC,无缓存,-40oCto85oC,0oCto70oC,长80mm；宽22mm；高2.38mm,600TBW,
105,西部数据WDS500G2B0C,100005926989,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,(480-512)GB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS500G2B0C,西部数据（WesternDigital）,1750MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,300TBW,
106,西部数据WDS100T3B0C,100028004984,40.00g,中国大陆/马来西亚/泰国,,3000-4500MB/s,960GB-1TB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS100T3B0C,西部数据（WesternDigital）,3000MB/s,3500MB/s,TLC,无缓存,-40oCto85oC,0oCto70oC,长80mm；宽22mm；高2.38mm,600TBW,
107,西部数据WDS500G2B0C,100005926989,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,(480-512)GB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS500G2B0C,西部数据（WesternDigital）,1750MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,300TBW,
108,西部数据WDS500G2B0C,100005926989,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,(480-512)GB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS500G2B0C,西部数据（WesternDigital）,1750MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,300TBW,
109,西部数据WDS500G2B0C,100005926989,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,(480-512)GB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS500G2B0C,西部数据（WesternDigital）,1750MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,300TBW,
110,西部数据WDS500G2B0C,100005926989,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,(480-512)GB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS500G2B0C,西部数据（WesternDigital）,1750MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,300TBW,
111,西部数据WDS500G2B0C,100005926989,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,(480-512)GB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS500G2B0C,西部数据（WesternDigital）,1750MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,300TBW,
112,英睿达（Crucial）美光SSD固态硬盘SATA3.0接口台式机笔记本美光原厂颗粒BX500系列240G三年质保,10035411203476,200.00g,,,,(240-256)GB,SATA接口,BX500,CT240BX500SSD1,,,,其他,无缓存,0°C至70°C,0°C至70°C,100mm*70mm*7mm,,存储先锋旗舰店
113,西部数据WDS500G2B0C,100005926989,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,(480-512)GB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS500G2B0C,西部数据（WesternDigital）,1750MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,300TBW,
114,西部数据WDS500G2B0C,100005926989,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,(480-512)GB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS500G2B0C,西部数据（WesternDigital）,1750MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,300TBW,
115,英睿达(Crucial)美光BX500/P1/P2/P5系列台式机笔记本SSD固态硬盘P51TM.2接口(NVMe协议),10031590588777,1.0kg,,,3000-4500MB/s,960GB-1TB,M.2接口(NVMe协议),P5,P51T,其它,3000MB/s,3400MB/s,,无缓存,0°C至70°C,0°C至70°C,长100mm；宽70mm；高7mm,,武极电脑DIY旗舰店
116,西部数据（WesternDigital）Gen4技术WD_BLACKSN850NVMeSN8502TB,10025455018857,1.0kg,,,4500MB/s及以上,2TB及以上,M.2接口(NVMe协议),WD_BLACK系列,WDS200T1X0E,西部数据（WesternDigital）,5100MB/s,7000MB/s,TLC,512M,-55oCto85oC,0oCto70oC,长80mm；宽22mm；高3mm,,西部数码IT专营店
117,西部数据WDS500G1B0E-00B3V0,100025295798,50.00g,泰国、马来西亚、中国,,3000-4500MB/s,(480-512)GB,M.2接口(NVMe协议),WD_BLACK系列,WDS500G1B0E-00B3V0,西部数据（WesternDigital）,2000MB/s,3600MB/s,TLC,无缓存,-55oC到85oC,0oC到70oC,长80mm；宽22mm；高2.38mm,300TBW,
118,西部数据（WD)M.2接口(NVMe协议)WD_BLACKSN750游戏高性能版EKWB定制散热片SN750游戏黑盘EKWB散热片定制版500G,10020754627781,1.0kg,,,3000-4500MB/s,(480-512)GB,M.2接口(NVMe协议),Black系列,WDS500G3X0C-00SJG0,西部数据（WesternDigital）,2600MB/s,3470MB/s,TLC,1GB,-55oC到85oC,0oC到70oC,长80mm；宽24.2mm；高8.1mm,,西部数码IT专营店
119,西部数据WDS500G2B0C,100005926989,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,(480-512)GB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS500G2B0C,西部数据（WesternDigital）,1750MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,300TBW,
120,西部数据WDS500G1B0E-00B3V0,100025295798,50.00g,泰国、马来西亚、中国,,3000-4500MB/s,(480-512)GB,M.2接口(NVMe协议),WD_BLACK系列,WDS500G1B0E-00B3V0,西部数据（WesternDigital）,2000MB/s,3600MB/s,TLC,无缓存,-55oC到85oC,0oC到70oC,长80mm；宽22mm；高2.38mm,300TBW,
121,西部数据WDS500G2B0C,100005926989,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,(480-512)GB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS500G2B0C,西部数据（WesternDigital）,1750MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,300TBW,
122,阿斯加特(Asgard)AN2系列250GM.2接口(NVMe协议)SSD固态硬盘,37755589326,100.00g,,,,(240-256)GB,M.2接口(NVMe协议),,,阿斯加特（Asgard）,,,TLC,无缓存,-40°C-85°C,0°C-70°C,80mm*22mm*2mm,,PC-home存储专营店
123,,,,,,,,,,,,,,,,,,,,
124,西部数据WDS500G2B0C,100005926989,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,(480-512)GB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS500G2B0C,西部数据（WesternDigital）,1750MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,300TBW,
125,铠侠LTC10Z240GC8,100007080967,100.00g,中国大陆,,,(240-256)GB,SATA接口,,TC10-240G,铠侠,540MB/s,555MB/s,TLC,无缓存,-40°C至85°C,0°C至65°C,100.45x69.85x7.00mm,60TBW,
126,西部数据WDS500G2B0A,5978660,70.00g,中国,,,(480-512)GB,SATA接口,BlueSSD固态硬盘,WDS500G2B0A,西部数据（WesternDigital）,530MB/s,560MB/s,TLC,64M,-55°C至85°C,0°C至70°C,长100.2mm；宽69.85mm；高7mm,200TBW,
127,海康威视（HIKVISION）C260,10931119024,200.00g,,,,其他,SATA接口,,,其它,,,,无缓存,-45℃-85℃,0°C~70°C,长200mm；宽200mm；高200mm,,英强科技专营店
128,,100023397134,,,,,,,,,,,,,,,,,,
129,金士顿（Kingston）A400笔记本台式机固态硬盘SATA240/480/960固态硬盘SSD金士顿A400系列固态硬盘960G非1T,55284386039,150.00g,,,,960GB-1TB,SATA接口,,,,,,TLC,无缓存,0-70,0-70,2.5英寸,,绿速通旗舰店
130,西部数据WDS500G2B0C,100005926989,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,(480-512)GB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS500G2B0C,西部数据（WesternDigital）,1750MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,300TBW,
131,英睿达（Crucial）美光SSD固态硬盘SATA3.0接口台式机笔记本美光原厂颗粒BX500系列240G三年质保,10035411203476,200.00g,,,,(240-256)GB,SATA接口,BX500,CT240BX500SSD1,,,,其他,无缓存,0°C至70°C,0°C至70°C,100mm*70mm*7mm,,存储先锋旗舰店
132,英睿达（Crucial）美光SSD固态硬盘SATA3.0接口台式机笔记本美光原厂颗粒BX500系列240G三年质保,10035411203476,200.00g,,,,(240-256)GB,SATA接口,BX500,CT240BX500SSD1,,,,其他,无缓存,0°C至70°C,0°C至70°C,100mm*70mm*7mm,,存储先锋旗舰店
133,金士顿（Kingston）A400笔记本台式机固态硬盘SATA240/480/960固态硬盘SSD金士顿A400系列固态硬盘960G非1T,55284386039,150.00g,,,,960GB-1TB,SATA接口,,,,,,TLC,无缓存,0-70,0-70,2.5英寸,,绿速通旗舰店
134,映泰（BIOSTAR）映泰S100系列固态硬盘,58818148223,100.00g,中国大陆,,,(120-128)GB,SATA接口,S100系列,S100-120G,,,,TLC,无缓存,-20~85°C,0~70°C,长100mm；宽69.9mm；高7mm,50TBW,映泰旗舰店
135,西部数据WDS500G1B0E-00B3V0,100025295798,50.00g,泰国、马来西亚、中国,,3000-4500MB/s,(480-512)GB,M.2接口(NVMe协议),WD_BLACK系列,WDS500G1B0E-00B3V0,西部数据（WesternDigital）,2000MB/s,3600MB/s,TLC,无缓存,-55oC到85oC,0oC到70oC,长80mm；宽22mm；高2.38mm,300TBW,
136,西部数据WDS250G2B0C,100010653792,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,(240-256)GB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS250G2B0C,西部数据（WesternDigital）,950MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,150TBW,
137,西部数据WDS250G2B0C,100010653792,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,(240-256)GB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS250G2B0C,西部数据（WesternDigital）,950MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,150TBW,
138,英睿达(Crucial)美光BX500/P1/P2/P5系列台式机笔记本SSD固态硬盘P51TM.2接口(NVMe协议),10031590588777,1.0kg,,,3000-4500MB/s,960GB-1TB,M.2接口(NVMe协议),P5,P51T,其它,3000MB/s,3400MB/s,,无缓存,0°C至70°C,0°C至70°C,长100mm；宽70mm；高7mm,,武极电脑DIY旗舰店
139,西部数据WDS500G2B0A,5978660,70.00g,中国,,,(480-512)GB,SATA接口,BlueSSD固态硬盘,WDS500G2B0A,西部数据（WesternDigital）,530MB/s,560MB/s,TLC,64M,-55°C至85°C,0°C至70°C,长100.2mm；宽69.85mm；高7mm,200TBW,
140,西部数据WDS250G2B0C,100010653792,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,(240-256)GB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS250G2B0C,西部数据（WesternDigital）,950MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,150TBW,
141,西部数据WDS100T1B0E-00B3V0,100025295846,50.00g,泰国、马来西亚、中国,,3000-4500MB/s,960GB-1TB,M.2接口(NVMe协议),WD_BLACK系列,WDS100T1B0E-00B3V0,西部数据（WesternDigital）,2830MB/s,3600MB/s,TLC,无缓存,-55oC到85oC,0oC到70oC,长80mm；宽22mm；高2.38mm,600TBW,
142,,,,,,,,,,,,,,,,,,,,
143,西部数据WDS250G2B0C,100010653792,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,(240-256)GB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS250G2B0C,西部数据（WesternDigital）,950MB/s,2400MB/s,TLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,150TBW,
144,,,,,,,,,,,,,,,,,,,,
145,西部数据WDS100T1B0E-00B3V0,100025295846,50.00g,泰国、马来西亚、中国,,3000-4500MB/s,960GB-1TB,M.2接口(NVMe协议),WD_BLACK系列,WDS100T1B0E-00B3V0,西部数据（WesternDigital）,2830MB/s,3600MB/s,TLC,无缓存,-55oC到85oC,0oC到70oC,长80mm；宽22mm；高2.38mm,600TBW,
146,西部数据WDS500G1X0E,100009210509,40.00g,中国大陆,,4500MB/s及以上,(480-512)GB,M.2接口(NVMe协议),WD_BLACK系列,WDS500G1X0E,西部数据（WesternDigital）,4100MB/s,7000MB/s,TLC,512M,-55oCto85oC,0oCto70oC,长80mm；宽22mm；高2.38mm,300TBW,
147,西部数据WDS500G1X0E,100009210509,40.00g,中国大陆,,4500MB/s及以上,(480-512)GB,M.2接口(NVMe协议),WD_BLACK系列,WDS500G1X0E,西部数据（WesternDigital）,4100MB/s,7000MB/s,TLC,512M,-55oCto85oC,0oCto70oC,长80mm；宽22mm；高2.38mm,300TBW,
148,西部数据WDS960G2G0C,100021012016,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,960GB-1TB,M.2接口(NVMe协议),GreenSSD固态硬盘,WDS960G2G0C,西部数据（WesternDigital）,1900MB/s,2400MB/s,TLC,,-40oCto85oC,0oCto70oC,长80mm；宽22mm；高2.38mm,80TBW,
149,三星（SAMSUNG）970EVOPlus/980PROM2固态硬盘NVMe台式机/笔记本电脑970EVOPlus2TB,11120985220,60.00g,,,3000-4500MB/s,2TB及以上,M.2接口(NVMe协议),970EVOplus,MZ-V7S2T0B,,3300MB/s,3500MB/s,,,-40~85°C,0-70℃,长80.15mm；宽22.15mm；高2.38mm,,存储先锋旗舰店
150,影驰影驰擎512G-M.2PCI-E2280台式机笔计本电脑SSD固态硬盘,100014110668,100.00g,中国大陆,,,(480-512)GB,M.2接口(NVMe协议),,,,,,,无缓存,-40~85℃,0-70℃,80*22*1.5mm,,
151,西部数据WDS500G1B0E-00B3V0,100025295798,50.00g,泰国、马来西亚、中国,,3000-4500MB/s,(480-512)GB,M.2接口(NVMe协议),WD_BLACK系列,WDS500G1B0E-00B3V0,西部数据（WesternDigital）,2000MB/s,3600MB/s,TLC,,-55oC到85oC,0oC到70oC,长80mm；宽22mm；高2.38mm,300TBW,
152,金士顿（Kingston）SA400,44144127306,75.00g,中国大陆,SA400,,(240-256)GB,SATA接口,,SA400S37/240GBKCN,,,,,无缓存,-40~85°C,0~70°C,100mmx69.9mmx7mm,,
153,西部数据WDS100T1B0E-00B3V0,100025295846,50.00g,泰国、马来西亚、中国,,3000-4500MB/s,960GB-1TB,M.2接口(NVMe协议),WD_BLACK系列,WDS100T1B0E-00B3V0,西部数据（WesternDigital）,2830MB/s,3600MB/s,TLC,,-55oC到85oC,0oC到70oC,长80mm；宽22mm；高2.38mm,600TBW,
154,三星三星NVMV980proSSDMZ-V8P250BW,100015610860,80.00g,中国大陆/韩国,MZ-V8P250BW,,(240-256)GB,M.2接口(NVMe协议),980PRO,MZ-V8P250BW,三星(SAMSUNG),2700MB/s,6400MB/s,TLC,512M,-40~85°C,0-70℃,80.15x22.15x2.38(mm),150TBW,
155,三星三星NVMV980proSSDMZ-V8P250BW,100015610860,80.00g,中国大陆/韩国,MZ-V8P250BW,,(240-256)GB,M.2接口(NVMe协议),980PRO,MZ-V8P250BW,三星(SAMSUNG),2700MB/s,6400MB/s,TLC,512M,-40~85°C,0-70℃,80.15x22.15x2.38(mm),150TBW,
156,金士顿（Kingston）SA400,44144127307,75.00g,中国大陆,SA400,,(480-512)GB,SATA接口,,SA400S37/480GBKCN,,,,,无缓存,-40~85°C,0~70°C,100mmx69.9mmx7mm,,
157,西部数据WDS960G2G0C,100021012016,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,960GB-1TB,M.2接口(NVMe协议),GreenSSD固态硬盘,WDS960G2G0C,西部数据（WesternDigital）,1900MB/s,2400MB/s,TLC,,-40oCto85oC,0oCto70oC,长80mm；宽22mm；高2.38mm,80TBW,
158,三星（SAMSUNG）970EVOPlus/980PROM2固态硬盘NVMe台式机/笔记本电脑970EVOPlus2TB,11120985220,60.00g,,,3000-4500MB/s,2TB及以上,M.2接口(NVMe协议),970EVOplus,MZ-V7S2T0B,,3300MB/s,3500MB/s,,,-40~85°C,0-70℃,长80.15mm；宽22.15mm；高2.38mm,,存储先锋旗舰店
159,三星（SAMSUNG）970EVOPlus/980PROM2固态硬盘NVMe台式机/笔记本电脑980PRO(Pcie4.0)2TB,28477342495,60.00g,,,4500MB/s及以上,2TB及以上,M.2接口(NVMe协议),980Pro,MZ-V8P2T0BW,,5100MB/s,7000MB/s,,,-40~85°C,0-70℃,长80.15mm；宽22.15mm；高2.38mm,,存储先锋旗舰店
160,三星三星NVMV980proSSDMZ-V8P250BW,100015610860,80.00g,中国大陆/韩国,MZ-V8P250BW,,(240-256)GB,M.2接口(NVMe协议),980PRO,MZ-V8P250BW,三星(SAMSUNG),2700MB/s,6400MB/s,TLC,512M,-40~85°C,0-70℃,80.15x22.15x2.38(mm),150TBW,
161,三星（SAMSUNG）970EVOPlus/980PROM2固态硬盘NVMe台式机/笔记本电脑970Pro(MLC颗粒)1TB,11120985226,60.00g,,,3000-4500MB/s,960GB-1TB,M.2接口(NVMe协议),970pro,MZ-V7P1T0BW,,2700MB/s,3500MB/s,,,-40~85°C,0-70℃,长80.15mm；宽22.15mm；高2.38mm,,存储先锋旗舰店
162,三星MZ-N6E250BW,6435501,75.00g,中国大陆,,,(240-256)GB,M.2接口（SATA总线）,860EVO系列,MZ-N6E250BW,三星(SAMSUNG),520MB/s,550MB/s,TLC,512M,-45°Cto85°C,0-70℃,Max.80.15xMax.22.15xMax.2.38(mm),150TBW,
163,三星（SAMSUNG）970EVOPlus/980PROM2固态硬盘NVMe台式机/笔记本电脑970EVOPlus1TB,11120985221,60.00g,,,3000-4500MB/s,960GB-1TB,M.2接口(NVMe协议),970EVOplus,MZ-V7S1T0B,,3300MB/s,3500MB/s,,,-40~85°C,0-70℃,长80.15mm；宽22.15mm；高2.38mm,,存储先锋旗舰店
164,金士顿（Kingston）A2000系列M.2接口NVMe协议固态硬盘SSDA2000无散热片版1T,28540908002,70.00g,中国大陆,,,960GB-1TB,M.2接口(NVMe协议),A2000,A20001T,,,,TLC,无缓存,-40°C~85°C,0°C~70°C,80mmx22mmx3.5mm,,绿速通旗舰店
165,三星（SAMSUNG）970EVOPlus/980PROM2固态硬盘NVMe台式机/笔记本电脑970EVOPlus2TB,11120985220,60.00g,,,3000-4500MB/s,2TB及以上,M.2接口(NVMe协议),970EVOplus,MZ-V7S2T0B,,3300MB/s,3500MB/s,,,-40~85°C,0-70℃,长80.15mm；宽22.15mm；高2.38mm,,存储先锋旗舰店
166,影驰影驰擎512G-M.2PCI-E2280台式机笔计本电脑SSD固态硬盘,100014110668,100.00g,中国大陆,,,(480-512)GB,M.2接口(NVMe协议),,,,,,,无缓存,-40~85℃,0-70℃,80*22*1.5mm,,
167,金士顿（Kingston）SNVS,10029388779051,25.00g,,,2000-3000MB/s,(480-512)GB,M.2接口(NVMe协议),SNVS,SNVS/500G,,,,,无缓存,-40°C?85°C,0°C?70°C,不同产品参数不同，详见页面,,
168,影驰影驰擎512G-M.2PCI-E2280台式机笔计本电脑SSD固态硬盘,100014110668,100.00g,中国大陆,,,(480-512)GB,M.2接口(NVMe协议),,,,,,,无缓存,-40~85℃,0-70℃,80*22*1.5mm,,
169,金士顿（Kingston）SA400,44144127306,75.00g,中国大陆,SA400,,(240-256)GB,SATA接口,,SA400S37/240GBKCN,,,,,无缓存,-40~85°C,0~70°C,100mmx69.9mmx7mm,,
170,三星（SAMSUNG）970EVOPlus/980PROM2固态硬盘NVMe台式机/笔记本电脑970Pro(MLC颗粒)1TB,11120985226,60.00g,,,3000-4500MB/s,960GB-1TB,M.2接口(NVMe协议),970pro,MZ-V7P1T0BW,,2700MB/s,3500MB/s,,,-40~85°C,0-70℃,长80.15mm；宽22.15mm；高2.38mm,,存储先锋旗舰店
171,西部数据WDS500G1B0E-00B3V0,100025295798,50.00g,泰国、马来西亚、中国,,3000-4500MB/s,(480-512)GB,M.2接口(NVMe协议),WD_BLACK系列,WDS500G1B0E-00B3V0,西部数据（WesternDigital）,2000MB/s,3600MB/s,TLC,,-55oC到85oC,0oC到70oC,长80mm；宽22mm；高2.38mm,300TBW,
172,三星（SAMSUNG）970EVOPlus/980PROM2固态硬盘NVMe台式机/笔记本电脑970Pro(MLC颗粒)1TB,11120985226,60.00g,,,3000-4500MB/s,960GB-1TB,M.2接口(NVMe协议),970pro,MZ-V7P1T0BW,,2700MB/s,3500MB/s,,,-40~85°C,0-70℃,长80.15mm；宽22.15mm；高2.38mm,,存储先锋旗舰店
